proxy_wallet,bot_score,cluster,kmeans,operator_id,operator_size,c_cadence_regularity,c_activity_247,c_size_regularity,c_breadth,c_burstiness,c_reaction,n_trades,active_hours,cv_gap,breadth_markets,max_trades_per_sec,reaction_alignment,realized_pnl_usdc,volume_usdc,roi_on_resolved,fill_win_rate
0x6a8d1709bfb718d8555d315a983c4816278350f9,0.48951890034364265,1,1,op_007,3.0,0.0,0.9166666666666666,0.041237113402061855,1.0,0.6666666666666666,0.0,97,22,2.0097119908711445,50,2,,124.11,583.99,0.2165,0.4574
0xbd6cbe1b94e0ae80b272124bf26b9694edae1e6d,0.489367816091954,1,1,,,0.0,0.7916666666666666,0.20689655172413793,1.0,0.6666666666666666,0.0,58,19,1.4658835628581532,52,2,,34.07,473.55,0.0737,0.6364
0x9a2f45f9228083d61103930e635b1be5baffa13c,0.48844696969696977,1,1,,,0.0,0.6666666666666666,0.03409090909090909,1.0,1.0,0.0,88,16,5.197901930353086,18,6,,122.85,1188.16,0.1089,1.0
0x79b61175ed419e50a4ce992593fa901d6edfe042,0.4879251700680272,1,1,,,0.0,0.5416666666666666,0.5306122448979592,1.0,0.6666666666666666,0.0,49,13,1.710132615333829,31,2,0.4,8.55,337.14,0.0254,0.8776
0x147e7969c73983235208f809e3835da49bcfeb1e,0.48694779116465864,1,1,,,0.0,0.9166666666666666,0.024096385542168676,1.0,0.6666666666666666,0.0,83,22,3.18016919438501,28,2,,39.35,6449.24,0.0064,1.0
0x7e2a576452e4a9e7182bffd942d812c2131e7e54,0.4863207547169811,1,1,,,0.0,0.625,0.07547169811320754,1.0,1.0,0.0,53,15,3.1568548372923573,20,3,0.0,-2.37,131.77,-0.018,0.6038
0xecc605abd3bc29ad7621d7fc6bc363013144b97a,0.48432039215686273,1,1,,,0.0,0.9166666666666666,0.11764705882352941,1.0,0.3333333333333333,0.3333999999999999,102,22,2.606376603017538,35,1,0.6667,0.0,1049.91,0.0,0.2673
0x16c7337106a0b3a06ff863a1c06d8e2cbf7322cd,0.4834192439862543,1,1,op_001,146.0,0.0,0.9583333333333334,0.27835051546391754,1.0,0.3333333333333333,0.0,97,23,3.3756154199907162,49,1,0.4828,-12.54,566.73,-0.0359,0.7302
0x2af92244ba9ff279f358e0034213337b0617d04e,0.4833333333333333,1,1,,,0.0,0.25,0.2222222222222222,1.0,0.6666666666666666,1.0,45,6,3.840537367522773,8,2,1.0,9.74,369.99,0.0263,1.0
0x695c569faefdb6ee2a1be44b0ad036ff9bf585dd,0.4829646017699115,1,1,op_006,12.0,0.0,0.875,0.05309734513274336,1.0,0.6666666666666666,0.0,226,21,3.8446996434914675,45,2,,-14.54,257.13,-0.0596,0.8472
0x8a5ae42312c477a50f84748a139a7f8595836df4,0.48287878787878785,1,1,,,0.0,0.7916666666666666,0.16363636363636364,1.0,0.6666666666666666,0.0,55,19,3.2468150737431154,15,2,0.0,-21.4,84.53,-0.2732,0.3725
0x75b086ade880292697fc38e363275be91282e7b7,0.48254716981132073,1,1,,,0.0,0.375,0.7169811320754716,1.0,0.6666666666666666,0.0,53,9,1.8375713766357682,17,2,,-43.27,374.87,-0.1199,0.1569
0x593716b79fb30a506250753822a97b487077ae8d,0.4821428571428572,-1,1,op_001,146.0,0.0,0.125,0.7142857142857143,1.0,1.0,0.0,49,3,2.382387995161935,18,4,0.4,34.21,189.98,0.1801,0.2449
0xeb68675c06e0bb9f08ba510550912d77289ce362,0.481872852233677,1,1,op_001,146.0,0.0,0.9583333333333334,0.26804123711340205,1.0,0.3333333333333333,0.0,97,23,3.3311801491423663,47,1,0.36,-6.73,579.96,-0.0187,0.6923
